bag_id,base_episode_angle_pooled,new_episode_angle_pooled,new_episode_angle_framemedian,abs_delta_pooled,signed_delta_pooled,abs_delta_framemedian
BCS6__Cow_28_3083,172.9156,172.9651,173.0609,0.0495,0.0495,0.1454
BCS4__Cow_29_7007,163.2271,163.2765,165.9287,0.0494,0.0494,2.7016
BCS4__Cow_29_7007,163.2271,163.2765,165.9287,0.0494,0.0494,2.7016
BCS4__Cow_26_5051,165.9182,165.8689,166.039,0.0493,-0.0493,0.1208
BCS6__Cow_11_07,172.8685,172.8202,172.7733,0.0483,-0.0483,0.0952
BCS5__Cow_21,171.0536,171.0972,171.1473,0.0436,0.0436,0.0937
BCS3__Cow_6_103,159.5771,159.6181,160.7516,0.041,0.041,1.1745
BCS5__Cow_15,169.6736,169.6341,169.6341,0.0395,-0.0395,0.0395
BCS6__Cow_36,172.3172,172.2791,172.3874,0.0382,-0.0382,0.0702
BCS4__Cow_23,169.3807,169.3433,169.4615,0.0374,-0.0374,0.0808
BCS6__Cow_11_07,172.8685,172.8314,172.679,0.037,-0.037,0.1895
BCS4__Cow_31,169.2404,169.277,168.7497,0.0365,0.0365,0.4907
BCS4__Cow_2,173.3733,173.3369,173.7916,0.0364,-0.0364,0.4184
BCS4__Cow_4,171.3765,171.3402,171.3039,0.0363,-0.0363,0.0726
BCS4__Cow_4,171.3765,171.3402,170.8909,0.0363,-0.0363,0.4856
BCS5__Cow_31_2024,169.4,169.3649,169.4,0.0351,-0.0351,0.0
BCS6__Cow_11_07,172.8685,172.8358,172.7426,0.0326,-0.0326,0.1258
BCS4__Cow_10,169.024,168.9917,169.4766,0.0323,-0.0323,0.4526
BCS5__Cow_13,172.7589,172.7286,172.5357,0.0302,-0.0302,0.2232
BCS4__Cow_44_1,169.407,169.3775,169.5339,0.0295,-0.0295,0.1268
BCS5__Cow_37,171.822,171.7936,172.086,0.0284,-0.0284,0.264
BCS5__Cow_34_1,164.493,164.4647,164.2042,0.0283,-0.0283,0.2888
BCS5__Cow_34,171.148,171.1733,171.2102,0.0254,0.0254,0.0622
BCS6__Cow_35,172.9936,172.9691,173.1172,0.0245,-0.0245,0.1236
BCS6__Cow_36_1,172.1313,172.1557,172.1478,0.0245,0.0245,0.0165
BCS4__Cow_47_1,166.424,166.4001,167.729,0.0239,-0.0239,1.305
BCS4__Cow_51_0035,166.4742,166.498,167.1293,0.0237,0.0237,0.655
BCS5__Cow_28,170.2135,170.1909,169.965,0.0227,-0.0227,0.2485
BCS5__Cow_10_0029,171.1487,171.1713,171.1713,0.0227,0.0227,0.0227
BCS4__Cow_7,171.9101,171.8891,171.9058,0.0211,-0.0211,0.0043
BCS4__Cow_8,169.6336,169.6131,169.6758,0.0205,-0.0205,0.0422
BCS5__Cow_23_1067,169.7626,169.7828,170.0093,0.0202,0.0202,0.2467
BCS6__Cow_29_NOTAG,170.0253,170.0051,170.1867,0.0202,-0.0202,0.1615
BCS6__Cow_29_NOTAG,170.0253,170.0051,170.1867,0.0202,-0.0202,0.1615
BCS5__Cow_23_1067,169.7626,169.7828,170.0093,0.0202,0.0202,0.2467
BCS4__Cow_19,170.6002,170.5799,170.7985,0.0202,-0.0202,0.1984
BCS6__Cow_29_NOTAG,170.0253,170.0051,170.1867,0.0202,-0.0202,0.1615
BCS6__Cow_13_66,171.2122,171.2298,171.4412,0.0175,0.0175,0.229
BCS6__Cow_13_66,171.2122,171.2298,170.5497,0.0175,0.0175,0.6626
BCS3__Cow_46_1,162.4482,162.4332,162.9556,0.0151,-0.0151,0.5073
BCS5__Cow_25,167.9445,167.9581,168.1366,0.0136,0.0136,0.1921
BCS4__Cow_17,172.2933,172.2802,172.2558,0.0131,-0.0131,0.0375
BCS5__Cow_29,171.1119,171.0989,171.9503,0.0129,-0.0129,0.8385
BCS5__Cow_37,171.822,171.8101,172.1114,0.0119,-0.0119,0.2893
BCS5__Cow_28,170.2135,170.2022,170.0473,0.0113,-0.0113,0.1662
BCS6__Cow_4_103,172.5748,172.5861,172.5046,0.0113,0.0113,0.0702
BCS6__Cow_28_3083,172.9156,172.9267,172.9032,0.0111,0.0111,0.0123
BCS6__Cow_28_3083,172.9156,172.9267,172.243,0.0111,0.0111,0.6726
BCS6__Cow_3_25,173.5926,173.5821,173.5926,0.0105,-0.0105,0.0
BCS6__Cow_2_6006,171.9256,171.918,171.9256,0.0076,-0.0076,0.0
BCS5__Cow_45,169.9891,169.982,169.8477,0.0071,-0.0071,0.1414
BCS4__Cow_7,171.9101,171.9032,172.049,0.0069,-0.0069,0.1389
BCS4__Cow_32_0035,168.3115,168.307,168.3901,0.0045,-0.0045,0.0786
BCS6__Cow_12_2014,172.7046,172.7088,173.3288,0.0042,0.0042,0.6242
BCS5__Cow_25,167.9445,167.9483,167.9108,0.0039,0.0039,0.0336
BCS4__Cow_23,169.3807,169.3776,169.4811,0.0031,-0.0031,0.1004
BCS4__Cow_6,168.2713,168.2682,168.2683,0.0031,-0.0031,0.0031
BCS6__Cow_18,170.9173,170.9199,171.2469,0.0026,0.0026,0.3296
BCS6__Cow_7_9008,168.9982,168.996,168.6846,0.0022,-0.0022,0.3136
BCS5__Cow_32,172.5406,172.5399,171.9609,0.0007,-0.0007,0.5797
