bag_id,animal_id,fold_id,seed,variant,true_label5,frame_count,available_good_frames,mean_unique_frames,repeat_agreement_with_reference,modal_consistency,mean_abs_bcs_change,expected_bcs_sd,mean_total_variation,repeated_accuracy
BCS6__Cow_32_34,Cow_32,0,2026,VAQ,4,1,7,1.0,1.0,1.0,0.0,0.0014139952811626482,0.00082011753693223,1.0
BCS6__Cow_32_34,Cow_32,0,2026,VAQ,4,3,7,3.0,1.0,1.0,0.0,0.0007134848041098706,0.00046115025179460645,1.0
BCS6__Cow_32_34,Cow_32,0,2026,VAQ,4,6,7,6.0,1.0,1.0,0.0,0.0002515475741331977,0.0002447734004817903,1.0
BCS6__Cow_32_34,Cow_32,0,2026,VAQ,4,12,7,5.84,1.0,1.0,0.0,0.0004336464394923688,0.00038666650652885437,1.0
BCS6__Cow_36,Cow_36,0,2026,VAQ,4,1,37,1.0,0.72,0.72,0.28,0.5842393094667252,0.2745809257030487,0.72
BCS6__Cow_36,Cow_36,0,2026,VAQ,4,3,37,3.0,0.96,0.96,0.04,0.25282680169315774,0.05225111544132233,0.96
BCS6__Cow_36,Cow_36,0,2026,VAQ,4,6,37,6.0,1.0,1.0,0.0,0.03030958663008478,0.010107560083270073,1.0
BCS6__Cow_36,Cow_36,0,2026,VAQ,4,12,37,12.0,1.0,1.0,0.0,0.016532552039564958,0.00892463605850935,1.0
BCS6__Cow_36_1,Cow_36,0,2026,VAQ,4,1,46,1.0,0.68,0.68,0.32,0.5369120953015623,0.3003861904144287,0.68
BCS6__Cow_36_1,Cow_36,0,2026,VAQ,4,3,46,3.0,0.98,0.98,0.02,0.16946582456366602,0.03619486466050148,0.98
BCS6__Cow_36_1,Cow_36,0,2026,VAQ,4,6,46,6.0,1.0,1.0,0.0,0.037308141186216705,0.014402501285076141,1.0
BCS6__Cow_36_1,Cow_36,0,2026,VAQ,4,12,46,12.0,1.0,1.0,0.0,0.02234600042887773,0.010201174765825272,1.0
BCS6__Cow_45_9025,Cow_45,0,2026,VAQ,4,1,31,1.0,1.0,1.0,0.0,0.0020511004154948934,0.0010592542821541429,1.0
BCS6__Cow_45_9025,Cow_45,0,2026,VAQ,4,3,31,3.0,1.0,1.0,0.0,0.001191095925922288,0.0006788435857743025,1.0
BCS6__Cow_45_9025,Cow_45,0,2026,VAQ,4,6,31,6.0,1.0,1.0,0.0,0.000883853935922526,0.0005037884693592787,1.0
BCS6__Cow_45_9025,Cow_45,0,2026,VAQ,4,12,31,12.0,1.0,1.0,0.0,0.00043517476282655803,0.00025191419990733266,1.0
BCS6__Cow_52_29,Cow_52,0,2026,VAQ,4,1,55,1.0,1.0,1.0,0.0,0.0017439974601850487,0.0008797731716185808,1.0
BCS6__Cow_52_29,Cow_52,0,2026,VAQ,4,3,55,3.0,1.0,1.0,0.0,0.0006972622687872199,0.0003438891435507685,1.0
BCS6__Cow_52_29,Cow_52,0,2026,VAQ,4,6,55,6.0,1.0,1.0,0.0,0.0005391083045851048,0.00027936368132941425,1.0
BCS6__Cow_52_29,Cow_52,0,2026,VAQ,4,12,55,12.0,1.0,1.0,0.0,0.0003392854824786399,0.00016680537373758852,1.0
BCS6__Cow_7_9008,Cow_7,0,2026,VAQ,4,1,19,1.0,1.0,1.0,0.0,0.007649420785017696,0.005951783154159784,1.0
BCS6__Cow_7_9008,Cow_7,0,2026,VAQ,4,3,19,3.0,1.0,1.0,0.0,0.003833023777921842,0.00242695608176291,1.0
BCS6__Cow_7_9008,Cow_7,0,2026,VAQ,4,6,19,6.0,1.0,1.0,0.0,0.0025765786162649357,0.0017214295221492648,1.0
BCS6__Cow_7_9008,Cow_7,0,2026,VAQ,4,12,19,12.0,1.0,1.0,0.0,0.0015087070134429206,0.0010069191921502352,1.0
BCS2__Cow_11,Cow_11,1,2026,VAQ,0,1,76,1.0,0.18,0.82,0.82,0.20226151933550773,0.18327099084854126,0.0
BCS2__Cow_11,Cow_11,1,2026,VAQ,0,3,76,3.0,0.4,0.6,0.6,0.12106438609613615,0.1220727413892746,0.0
BCS2__Cow_11,Cow_11,1,2026,VAQ,0,6,76,6.0,0.44,0.56,0.56,0.08742255338695641,0.0881362184882164,0.0
BCS2__Cow_11,Cow_11,1,2026,VAQ,0,12,76,12.0,0.28,0.72,0.72,0.06555483256905055,0.09390947222709656,0.0
BCS2__Cow_11_1,Cow_11,1,2026,VAQ,0,1,6,1.0,1.0,1.0,0.0,0.08381385585391676,0.0749843493103981,0.0
BCS2__Cow_11_1,Cow_11,1,2026,VAQ,0,3,6,3.0,1.0,1.0,0.0,0.038862380835972314,0.056065529584884644,0.0
BCS2__Cow_11_1,Cow_11,1,2026,VAQ,0,6,6,6.0,1.0,1.0,0.0,1.4011877924374898e-07,0.05285273492336273,0.0
BCS2__Cow_11_1,Cow_11,1,2026,VAQ,0,12,6,5.38,1.0,1.0,0.0,0.023756212166755747,0.053442779928445816,0.0
BCS2__Cow_11_2,Cow_11,1,2026,VAQ,0,1,40,1.0,0.3,0.7,0.7,0.35436911836701857,0.6965692639350891,0.3
BCS2__Cow_11_2,Cow_11,1,2026,VAQ,0,3,40,3.0,0.66,0.66,0.34,0.4505843592018081,0.3963630795478821,0.66
BCS2__Cow_11_2,Cow_11,1,2026,VAQ,0,6,40,6.0,0.96,0.96,0.04,0.4033395526405018,0.1396414339542389,0.96
BCS2__Cow_11_2,Cow_11,1,2026,VAQ,0,12,40,12.0,1.0,1.0,0.0,0.20038857288301093,0.0551563985645771,1.0
BCS3__Cow_14,Cow_14,1,2026,VAQ,1,1,4,1.0,1.0,1.0,0.0,0.012952625267213252,0.012144528329372406,0.0
BCS3__Cow_14,Cow_14,1,2026,VAQ,1,3,4,3.0,1.0,1.0,0.0,0.0040852610662651225,0.007316506002098322,0.0
BCS3__Cow_14,Cow_14,1,2026,VAQ,1,6,4,3.14,1.0,1.0,0.0,0.00549580856416964,0.008543435484170914,0.0
BCS3__Cow_14,Cow_14,1,2026,VAQ,1,12,4,3.88,1.0,1.0,0.0,0.0033888864693117013,0.007990115322172642,0.0
BCS3__Cow_14_0011,Cow_14,1,2026,VAQ,1,1,4,1.0,1.0,1.0,0.0,0.14350733311910296,0.10894349217414856,1.0
BCS3__Cow_14_0011,Cow_14,1,2026,VAQ,1,3,4,3.0,1.0,1.0,0.0,0.04533604198046882,0.07167389988899231,1.0
